r2	cor	mean	median	rmse	type	num_genes
0.7194053158601009	0.8488592340113228	7.627315617613195	5.370845456800193	10.318679423182767	test	50
0.7892305245503904	0.8897395096169644	6.6293772452388815	4.83317878578205	8.942657701225455	training	50
0.7186718569676555	0.8484631357341639	7.67276956120009	5.3459579549986245	10.332156848568333	test	50
0.7861261548627645	0.8879028806423488	6.696995651156267	4.697127126823045	9.008278104166225	training	50
0.7251610565570246	0.852225638372714	7.525599704558745	5.287112408948376	10.212299329626454	test	50
0.7960372008530671	0.8936177836826161	6.497256226885395	4.7498901843296375	8.797018506977762	training	50
0.7166722093785522	0.8473062451432122	7.687213930971654	5.442492707679124	10.36881171146046	test	50
0.784936598813094	0.8872627646218056	6.699580317394713	4.8550682475943985	9.033288599636984	training	50
0.7191220024259559	0.8486830484743952	7.680254509923576	5.417511390339703	10.323887438701544	test	50
0.7886091961730001	0.889350858961484	6.669586753021481	4.861059146921017	8.955830417359325	training	50
0.7201501431427069	0.8493205593818145	7.68636702460576	5.483028796142133	10.304975063350792	test	50
0.7877615980972438	0.8888879228920442	6.709026429478238	4.769652271745306	8.973752935192463	training	50
0.7193376327951734	0.8488324093571077	7.7281367415434365	5.652886234629755	10.319923847575225	test	50
0.7842418223192257	0.886870290421446	6.77576915460078	4.914328944397909	9.047880802572461	training	50
0.7181038740430147	0.8480879161218747	7.689291180586819	5.379438746329029	10.342581560374795	test	50
0.7886476231950555	0.8893936321315822	6.668558157675912	4.738712087352925	8.954978334245506	training	50
0.7311840038782481	0.8558123847709851	7.5641735050308965	5.4680904548249	10.099780951993532	test	50
0.8011031990892867	0.8965563882141542	6.508861214711181	4.785065769347651	8.687070811695058	training	50
0.7187290881102584	0.8484994767843095	7.737281496239625	5.60190506023536	10.331105849524851	test	50
0.7849939452663975	0.8872939619618991	6.765002057194959	4.900261664960506	9.032106720437017	training	50
0.7310707974228554	0.8556928908560762	7.426909887053858	5.02773607167041	10.101907388046143	test	100
0.8170318405506016	0.9056270808014039	6.114179101202934	4.299054773342875	8.331819584311042	training	100
0.7166002189681171	0.8472433951980901	7.69373497098284	5.355637871264037	10.370128927111558	test	100
0.7936056486700419	0.8922624320111648	6.576375627267453	4.596327925707761	8.849269821159849	training	100
0.717415709022492	0.8476893886741704	7.724494056945018	5.516648465732757	10.355198023920197	test	100
0.7950588449203835	0.8930741711357373	6.594041416171078	4.828309808766585	8.81815091038408	training	100
0.7209143339464742	0.8497869318093971	7.675256283583254	5.6867646922377855	10.290895458853637	test	100
0.7973438499295052	0.8944337591894299	6.5393007028999	4.838806286272189	8.768821169533236	training	100
0.7206445157683737	0.849557202676432	7.683138940621164	5.532899665698949	10.29586884195584	test	100
0.7988363378863161	0.8953326598298141	6.52613173219716	4.808090564610733	8.736399771944413	training	100
0.7210546590443458	0.8498068467322974	7.610966921359183	5.338213221187928	10.288307987237298	test	100
0.8111401344899478	0.9023524279751648	6.292142329297765	4.536773522909184	8.464832256652198	training	100
0.7196190801183402	0.8489825474322523	7.660475304062003	5.746708447381078	10.314748156412891	test	100
0.7980890083207473	0.8948420336387423	6.5175286764201585	4.9427952661455485	8.752674248178959	training	100
0.7314251832426466	0.8558250070688551	7.387504190908792	5.418327611530316	10.095249217668293	test	100
0.8209892984449645	0.9077499875747099	6.051084625695848	4.650823023415006	8.241279470618556	training	100
0.738251542194635	0.8598431831824461	7.377081798318711	5.657425913144273	9.966128130073407	test	100
0.8330585703505047	0.9145397682507748	5.94035775974039	4.668795983229528	7.958619985178973	training	100
0.731872960387863	0.8561419107193611	7.352238213203578	5.201915920851491	10.086830134203154	test	100
0.8255116830574987	0.9102787532829583	5.965414322675385	4.379269776955547	8.136515749100491	training	100
0.721858997262188	0.8502586450580188	7.613631655358672	5.184736073114315	10.27346412331781	test	150
