rank	v1	v2	entrez	symbol
218	y	y	7423	VEGFB
219	y	y	5729	PTGDR
220	y	y	55272	IMP3
221	y	y	23157	SEPT6
222	y	y	59352	LGR6
223	y	y	9533	POLR1C
224	y	y	5324	PLAG1
225	y	y	8313	AXIN2
226	y	y	7267	TTC3
227	y	y	7694	ZNF135
228	y	y	199786	FAM129C
229	y	y	9806	SPOCK2
230	y	y	1266	CNN3
231	y	y	90594	ZNF439
232	y	y	57504	MTA3
233	y	y	84417	C2orf40
234	y	y	115362	GBP5
235	y	y	114915	EPB41L4A-AS1
236	y	y	1942	EFNA1
237	y	y	8553	BHLHE40
238	y	y	60489	APOBEC3G
239	y	y	10172	ZNF256
240	y	y	4026	LPP
241	y	y	128346	C1orf162
242	y	y	57185	NIPAL3
243	y	y	5027	P2RX7
244	y	y	56915	EXOSC5
245	y	y	788	SLC25A20
246	y	y	139716	GAB3
247	y	y	85315	PAQR8
248	y	y	55556	ENOSF1
249	y	y	3646	EIF3E
250	y	y	3543	IGLL1
251	y	y	8320	EOMES
252	y	y	54881	TEX10
253	y	y	9500	MAGED1
254	y	y	7071	KLF10
255	y	y	53347	UBASH3A
256	y	y	6711	SPTBN1
257	y	y	9788	MTSS1
258	y	y	3298	HSF2
259	y	y	5778	PTPN7
260	y	y	23370	ARHGEF18
261	y	y	10131	TRAP1
262	y	y	128553	TSHZ2
263	y	y	8667	EIF3H
264	y	y	6645	SNTB2
265	y	y	162972	ZNF550
266	y	y	53335	BCL11A
267	y	y	1495	CTNNA1
268	y	y	3111	HLA-DOA
269	y	y	3587	IL10RA
270	y	y	7184	HSP90B1
271	y	y	6319	SCD
272	y	y	64425	POLR1E
273	y	y	6638	SNRPN
274	y	y	6272	SORT1
275	y	y	158	ADSL
276	y	y	51520	LARS
277	y	y	6856	SYPL1
278	y	y	5732	PTGER2
279	y	y	81539	SLC38A1
280	y	y	84916	CIRH1A
281	y	y	23708	GSPT2
282	y	y	83464	APH1B
283	y	y	1875	E2F5
284	y	y	256987	SERINC5
285	y	y	51386	EIF3L
286	y	y	91782	CHMP7
287	y	y	64757	MARCH1
288	y	y	1662	DDX10
289	y	y	8270	LAGE3
290	y	y	3688	ITGB1
291	y	y	84128	WDR75
292	y	y	55013	CCDC109B
293	y	y	5198	PFAS
294	y	y	84293	FAM213A
295	y	y	91151	TIGD7
296	y	y	5569	PKIA
297	y	y	970	CD70
298	y	y	9743	ARHGAP32
299	y	y	22891	ZNF365
300	y	y	1938	EEF2
301	y	y	4489	MT1A
302	y	y	57595	PDZD4
303	y	y	51611	DPH5
304	y	y	84033	OBSCN
305	y	y	55619	DOCK10
306	y	y	55226	NAT10
307	y	y	10970	CKAP4
308	y	y	27300	ZNF544
309	y	y	123036	TC2N
310	y	y	151888	BTLA
311	y	y	7089	TLE2
312	y	y	10576	CCT2
313	y	y	56652	C10orf2
314	y	y	51466	EVL
315	y	y	356	FASLG
316	y	y	26354	GNL3
317	y	y	6194	RPS6
318	y	y	10538	BATF
319	y	y	3394	IRF8
320	y	y	974	CD79B
321	y	y	58477	SRPRB
322	y	y	10223	GPA33
323	y	y	25926	NOL11
324	y	y	9840	TESPA1
325	y	y	7107	GPR137B
326	y	y	11213	IRAK3
327	y	y	80324	PUS1
328	y	y	6418	SET
329	y	y	430	ASCL2
330	y	y	84365	MKI67IP
331	y	y	79888	LPCAT1
332	y	y	126410	CYP4F22
333	y	y	9935	MAFB
334	y	y	3702	ITK
335	y	y	8204	NRIP1
336	y	y	80256	FAM214B
337	y	y	5140	PDE3B
338	y	y	112597	LINC00152
339	y	y	134266	GRPEL2
340	y	y	90871	C9orf123
341	y	y	1240	CMKLR1
342	y	y	117157	SH2D1B
343	y	y	302	ANXA2
344	y	y	81929	SEH1L
345	y	y	608	TNFRSF17
346	y	y	6059	ABCE1
347	y	y	22880	MORC2
348	y	y	10758	TRAF3IP2
349	y	y	79891	ZNF671
350	y	y	1628	DBP
351	y	y	56255	TMX4
352	y	y	121642	ALKBH2
353	y	y	155066	ATP6V0E2
354	y	y	51275	MAPKAPK5-AS1
355	y	y	4493	MT1E
356	y	y	6191	RPS4X
357	y	y	79887	PLBD1
358	y	y	5471	PPAT
359	y	y	23095	KIF1B
360	y	y	9834	KIAA0125
361	y	y	221188	GPR114
362	y	y	4684	NCAM1
363	y	y	23495	TNFRSF13B
364	y	y	1317	SLC31A1
365	y	y	4063	LY9
366	y	y	10785	WDR4
367	y	y	29104	N6AMT1
368	y	y	1021	CDK6
369	y	y	4217	MAP3K5
370	y	y	4118	MAL
371	y	y	7311	UBA52
372	y	y	10196	PRMT3
373	y	y	8409	UXT
374	y	y	6141	RPL18
375	y	y	6689	SPIB
376	y	y	664	BNIP3
377	y	y	84707	BEX2
378	y	y	383	ARG1
379	y	y	26140	TTLL3
380	y	y	640	BLK
381	y	y	1374	CPT1A
382	y	y	4000	LMNA
383	y	y	2209	FCGR1A
384	y	y	55622	TTC27
385	y	y	55340	GIMAP5
386	y	y	7850	IL1R2
387	y	y	6137	RPL13
388	y	y	55759	WDR12
389	y	y	10480	EIF3M
390	y	y	3800	KIF5C
391	y	y	10694	CCT8
392	y	y	1823	DSC1
393	y	y	10039	PARP3
394	y	y	433	ASGR2
395	y	y	824	CAPN2
396	y	y	6772	STAT1
397	y	y	22849	CPEB3
398	y	y	27346	TMEM97
399	y	y	6237	RRAS
400	y	y	9209	LRRFIP2
401	y	y	89857	KLHL6
402	y	y	83853	ROPN1L
403	y	y	29993	PACSIN1
404	y	y	9933	KIAA0020
